,mean,std
3-Hydroxybutyrate,0.06183003283894457,0.061759756716230296
Acetate,0.018095233852747812,0.035051024845618825
Acetoacetate,0.013122119009190143,0.012440241747421971
Acetone,0.014320805343214497,0.005701337604268204
Alanine,0.3009313287986479,0.07719357688530633
Albumin,39.79714172959326,3.4239104971373977
Apolipoprotein A1,1.4833305488144497,0.24914447786213856
Apolipoprotein B,0.8685973357746379,0.20128121613526542
Average Diameter for HDL Particles,9.643918569475712,0.20722885623942858
Average Diameter for LDL Particles,23.93214313170352,0.08939159788479165
Average Diameter for VLDL Particles,38.662863434295986,1.2517850782837456
Cholesterol in Chylomicrons and Extremely Large VLDL,0.05479414173424716,0.04358438510665246
Cholesterol in IDL,0.8625432365597353,0.2117495279557685
Cholesterol in Large HDL,0.3037738705572199,0.1737204040894983
Cholesterol in Large LDL,1.1743144837991049,0.2853521470202794
Cholesterol in Large VLDL,0.10068820391223102,0.050127639502292244
Cholesterol in Medium HDL,0.5100506368359955,0.12667180155653307
Cholesterol in Medium LDL,0.44110519081634125,0.11896226116251245
Cholesterol in Medium VLDL,0.1775057140103028,0.06514533747795881
Cholesterol in Small HDL,0.455840203102996,0.06275651386289775
Cholesterol in Small LDL,0.18632294408581979,0.044788582966062335
Cholesterol in Small VLDL,0.16094787535038652,0.05234262216814037
Cholesterol in Very Large HDL,0.08228223192005715,0.03577237560429006
Cholesterol in Very Large VLDL,0.05489220669069098,0.029813942022645312
Cholesterol in Very Small VLDL,0.18749350877499543,0.049116456040086576
Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,0.03058159859238441,0.0241641669398174
Cholesteryl Esters in HDL,1.051463984667027,0.2637001181598092
Cholesteryl Esters in IDL,0.6376800372522322,0.15758802812308167
Cholesteryl Esters in Large HDL,0.23489641012291826,0.13535308280592884
Cholesteryl Esters in Large LDL,0.868449276547598,0.21087451982212907
Cholesteryl Esters in Large VLDL,0.05285208644569603,0.024406886365378255
Cholesteryl Esters in LDL,1.3208253877049332,0.3259446117450841
Cholesteryl Esters in Medium HDL,0.4197550833222225,0.10196033952658629
Cholesteryl Esters in Medium LDL,0.3172261777591204,0.08913414881985668
Cholesteryl Esters in Medium VLDL,0.09555518001766707,0.03760989682763937
Cholesteryl Esters in Small HDL,0.33777988005524306,0.04861728003417436
Cholesteryl Esters in Small LDL,0.13514993488212163,0.03361976803691022
Cholesteryl Esters in Small VLDL,0.10027493366657472,0.03364521074928204
Cholesteryl Esters in Very Large HDL,0.05903248820867001,0.028587771105877055
Cholesteryl Esters in Very Large VLDL,0.030926074117955702,0.015263350712039492
Cholesteryl Esters in Very Small VLDL,0.12894401892497387,0.0348409533731092
Cholesteryl Esters in VLDL,0.4391339334902819,0.14402695786486372
Citrate,0.06722407631582071,0.01341996726416521
Clinical LDL Cholesterol,2.637033863941382,0.7258586983938964
Concentration of Chylomicrons and Extremely Large VLDL Particles,1.6943135684451036e-06,1.5389485257904007e-06
Concentration of HDL Particles,0.015568658614630864,0.0024820286682657863
Concentration of IDL Particles,0.00031454621910308704,7.512836620094887e-05
Concentration of Large HDL Particles,0.0014407832321014999,0.0007907667046974959
Concentration of Large LDL Particles,0.00075759639202076,0.00017874672227411926
Concentration of Large VLDL Particles,1.0614938825928045e-05,5.8791600151769925e-06
Concentration of LDL Particles,0.0012305567613127208,0.00028545236273164697
Concentration of Medium HDL Particles,0.003972525453746939,0.0009519568282119463
Concentration of Medium LDL Particles,0.00030006898737506275,7.646116127242502e-05
Concentration of Medium VLDL Particles,3.59560415349874e-05,1.2645776023811824e-05
Concentration of Small HDL Particles,0.009921279510036874,0.0013422939955899914
Concentration of Small LDL Particles,0.00017289136306770437,3.79455291026121e-05
Concentration of Small VLDL Particles,4.046195091525638e-05,1.352133412204566e-05
Concentration of Very Large HDL Particles,0.00023406810497677246,9.70221506263839e-05
Concentration of Very Large VLDL Particles,3.607938668621341e-06,2.3771034274765605e-06
Concentration of Very Small VLDL Particles,5.5737588142319825e-05,1.3783086654471262e-05
Concentration of VLDL Particles,0.00014807278540729287,4.5747852703987167e-05
Creatinine,0.06787720205161298,0.013772520052855699
Degree of Unsaturation,1.359132343893577,0.08047473546573322
Docosahexaenoic Acid,0.2410208393172285,0.08559588042056752
Free Cholesterol in Chylomicrons and Extremely Large VLDL,0.024212543638804887,0.01966887242067281
Free Cholesterol in HDL,0.3004831101622789,0.07494245865920689
Free Cholesterol in IDL,0.22486320172174554,0.055558706596174415
Free Cholesterol in Large HDL,0.06887745204308902,0.03871708739444858
Free Cholesterol in Large LDL,0.3058652098898582,0.0766835967145215
Free Cholesterol in Large VLDL,0.047836108518196335,0.026344243666998397
Free Cholesterol in LDL,0.4809172299165632,0.12041684846414008
Free Cholesterol in Medium HDL,0.09029554846852841,0.025301692403505167
Free Cholesterol in Medium LDL,0.12387901161780443,0.032491644150101036
Free Cholesterol in Medium VLDL,0.08195054169063999,0.029877012808629772
Free Cholesterol in Small HDL,0.11806033044971896,0.016642513024283996
Free Cholesterol in Small LDL,0.051173007191085335,0.012649846411872891
Free Cholesterol in Small VLDL,0.060672938298509935,0.01909387225519604
Free Cholesterol in Very Large HDL,0.023249744391787862,0.007489170934606982
Free Cholesterol in Very Large VLDL,0.023966130988840754,0.01499499852929711
Free Cholesterol in Very Small VLDL,0.058549497992858454,0.014945387733661447
Free Cholesterol in VLDL,0.29718782646403813,0.11038140809969255
Glucose,3.6713568233032237,1.0811389620921121
Glutamine,0.5611947105664191,0.08586852503785067
Glycine,0.17773196411417272,0.06862137841413243
Glycoprotein Acetyls,0.8153403713274652,0.12113710971814905
HDL Cholesterol,1.3519436973125085,0.33618337834045575
Histidine,0.06628922791707592,0.010959604531769938
Isoleucine,0.052205139271133606,0.01835988325334598
Lactate,4.029482877028264,1.1435404093454493
LDL Cholesterol,1.8017426340967437,0.44134750585121063
Leucine,0.10601596854757682,0.02911282404182856
Linoleic Acid,3.5438461369958225,0.6921679006071194
Monounsaturated Fatty Acids,2.9473975035724482,0.861511257002328
Omega-3 Fatty Acids,0.5392458311774945,0.22552530226608442
Omega-6 Fatty Acids,4.592187814264779,0.6933558934515434
Phenylalanine,0.047987966002044656,0.011493663122140696
Phosphatidylcholines,2.1487839598154186,0.3781873994262256
Phosphoglycerides,2.3390027091780574,0.4020495915616986
Phospholipids in Chylomicrons and Extremely Large VLDL,0.03444301719520591,0.03218902579101866
Phospholipids in HDL,1.5845553558446352,0.3264413954671521
Phospholipids in IDL,0.29968845030773356,0.06574711743580314
Phospholipids in Large HDL,0.33180847526051654,0.15720832968956588
Phospholipids in Large LDL,0.3676248770438037,0.082196972360255
Phospholipids in Large VLDL,0.06833610174104246,0.04180652562120137
Phospholipids in LDL,0.6263656824951396,0.14115245782792063
Phospholipids in Medium HDL,0.4985016562105159,0.10247707994414024
Phospholipids in Medium LDL,0.16765470093174162,0.042665540782111454
Phospholipids in Medium VLDL,0.13345923068695492,0.04870874759080417
Phospholipids in Small HDL,0.6758492050730406,0.09520223530020794
Phospholipids in Small LDL,0.09108610358632042,0.01912701144253735
Phospholipids in Small VLDL,0.10036406665229643,0.030855673702458522
Phospholipids in Very Large HDL,0.07839573214821909,0.04594720021556235
Phospholipids in Very Large VLDL,0.0391569344028517,0.02711851256506166
Phospholipids in Very Small VLDL,0.10639257376199468,0.02689822086551148
Phospholipids in VLDL,0.4821519902213733,0.18695084997498954
Polyunsaturated Fatty Acids,5.131463936433718,0.8186367685825121
Pyruvate,0.08299530782724128,0.03426039097400543
"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",1.5988650000680764,0.4156564836136685
Saturated Fatty Acids,4.190725719587093,0.9869849369045487
Sphingomyelins,0.46137682397808166,0.07255924374333056
Total Cholesterol,4.752541889576059,0.932042422383322
Total Cholesterol Minus HDL-C,3.4005976024348636,0.8408596209942726
Total Cholines,2.6273753663847863,0.4138698901880237
Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine),0.37091211983784517,0.08794685752094904
Total Concentration of Lipoprotein Particles,0.017261834475372145,0.0025758405019547584
Total Esterified Cholesterol,3.4542899851205515,0.6709084186189668
Total Fatty Acids,12.269638864904769,2.4863456813075797
Total Free Cholesterol,1.2982656304634181,0.2670597833410797
Total Lipids in Chylomicrons and Extremely Large VLDL,0.21993406927634662,0.2081313549807079
